lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,name
10.056566666666665,13.863499999999997,19.644566666666663,21.846166666666665,54.666666666666664,76.0,90.66666666666667,58.666666666666664,1.0,1.6666666666666667,2.3333333333333335,3.0,3.6666666666666665,8.0,9.333333333333334,9.0,0.5528999999999998,0.9471000000000002,1.1175666666666666,1.1224333333333334,61.28999999999999,122.41666666666667,135.17022866666667,148.293806,0.0,0.0,0.8266666666666665,2.479999999999999,0.0,0.0,4.666666666666667,14.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-1.0,-0.6666666666666666,0.0,0.0,0.24,0.7199999999999999,0.0,2.9605947323337506e-16,0.5285933333333337,1.5857800000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mof_primitive
10.76738,11.826899999999998,20.028979999999997,22.6709,58.4,64.8,99.2,60.8,1.0,1.4,2.2,3.0,2.6,6.0,7.6,7.8,0.5448999999999999,0.7931000000000001,1.1085399999999999,1.11438,48.010000000000005,97.40599999999999,116.2941372,132.04243,0.0,0.35600000000000004,0.852,2.8359999999999994,0.0,0.8,3.6,14.8,0.0,0.0,0.0,0.0,0.0,-1.0,-1.8,-1.6,0.0,-0.016000000000000014,0.12799999999999997,0.704,0.0,-2.4000000000000004,-2.0828440000000006,-0.8142200000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mof_primitive
10.056566666666665,13.863499999999997,19.644566666666663,21.846166666666665,54.666666666666664,76.0,90.66666666666667,58.666666666666664,1.0,1.6666666666666667,2.3333333333333335,3.0,3.6666666666666665,8.0,9.333333333333334,9.0,0.5528999999999998,0.9471000000000002,1.1175666666666666,1.1224333333333334,61.28999999999999,122.41666666666667,135.17022866666667,148.293806,0.0,0.0,0.8266666666666665,2.479999999999999,0.0,0.0,4.666666666666667,14.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-1.0,-0.6666666666666666,0.0,0.0,0.24,0.7199999999999999,0.0,2.9605947323337506e-16,0.5285933333333337,1.5857800000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mof_primitive
10.056566666666665,13.863499999999997,19.644566666666663,21.846166666666665,54.666666666666664,76.0,90.66666666666667,58.666666666666664,1.0,1.6666666666666667,2.3333333333333335,3.0,3.6666666666666665,8.0,9.333333333333334,9.0,0.5528999999999998,0.9471000000000002,1.1175666666666666,1.1224333333333334,61.28999999999999,122.41666666666667,135.17022866666667,148.293806,0.0,0.0,0.8266666666666665,2.479999999999999,0.0,0.0,4.666666666666667,14.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-1.0,-0.6666666666666666,0.0,0.0,0.24,0.7199999999999999,0.0,2.9605947323337506e-16,0.5285933333333337,1.5857800000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mof_primitive
10.056566666666665,13.863499999999997,19.644566666666663,21.846166666666665,54.666666666666664,76.0,90.66666666666667,58.666666666666664,1.0,1.6666666666666667,2.3333333333333335,3.0,3.6666666666666665,8.0,9.333333333333334,9.0,0.5528999999999998,0.9471000000000002,1.1175666666666666,1.1224333333333334,61.28999999999999,122.41666666666667,135.17022866666667,148.293806,0.0,0.0,0.8266666666666665,2.479999999999999,0.0,0.0,4.666666666666667,14.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-1.0,-0.6666666666666666,0.0,0.0,0.24,0.7199999999999999,0.0,2.9605947323337506e-16,0.5285933333333337,1.5857800000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mof_primitive
10.056566666666665,13.863499999999997,19.644566666666663,21.846166666666665,54.666666666666664,76.0,90.66666666666667,58.666666666666664,1.0,1.6666666666666667,2.3333333333333335,3.0,3.6666666666666665,8.0,9.333333333333334,9.0,0.5528999999999998,0.9471000000000002,1.1175666666666666,1.1224333333333334,61.28999999999999,122.41666666666667,135.17022866666667,148.293806,0.0,0.0,0.8266666666666665,2.479999999999999,0.0,0.0,4.666666666666667,14.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-1.0,-0.6666666666666666,0.0,0.0,0.24,0.7199999999999999,0.0,2.9605947323337506e-16,0.5285933333333337,1.5857800000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mof_primitive
10.056566666666665,13.863499999999997,19.644566666666663,21.846166666666665,54.666666666666664,76.0,90.66666666666667,58.666666666666664,1.0,1.6666666666666667,2.3333333333333335,3.0,3.6666666666666665,8.0,9.333333333333334,9.0,0.5529000000000001,0.9471000000000002,1.1175666666666666,1.1224333333333334,61.29,122.41666666666667,135.17022866666667,148.293806,0.0,0.0,0.8266666666666665,2.4799999999999995,0.0,0.0,4.666666666666667,14.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-1.0,-0.6666666666666666,0.0,0.0,0.24,0.7199999999999999,0.0,0.0,0.5285933333333332,1.5857799999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mof_primitive
10.76738,11.826899999999998,20.028979999999997,22.6709,58.4,64.8,99.2,60.8,1.0,1.4,2.2,3.0,2.6,6.0,7.6,7.8,0.5448999999999999,0.7931000000000001,1.10854,1.1143800000000001,48.010000000000005,97.406,116.2941372,132.04243,0.0,0.35600000000000004,0.852,2.8359999999999994,0.0,0.8,3.6,14.8,0.0,0.0,0.0,0.0,0.0,-1.0,-1.8,-1.6,0.0,-0.016000000000000014,0.12799999999999997,0.704,0.0,-2.4000000000000004,-2.0828440000000006,-0.8142200000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mof_primitive
10.056566666666665,13.863499999999997,19.644566666666663,21.846166666666665,54.666666666666664,76.0,90.66666666666667,58.666666666666664,1.0,1.6666666666666667,2.3333333333333335,3.0,3.6666666666666665,8.0,9.333333333333334,9.0,0.5528999999999998,0.9471000000000002,1.1175666666666666,1.1224333333333334,61.28999999999999,122.41666666666667,135.17022866666667,148.293806,0.0,0.0,0.8266666666666665,2.479999999999999,0.0,0.0,4.666666666666667,14.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-1.0,-0.6666666666666666,0.0,0.0,0.24,0.7199999999999999,0.0,2.9605947323337506e-16,0.5285933333333337,1.5857800000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mof_primitive
10.056566666666665,13.863499999999997,19.644566666666663,21.846166666666665,54.666666666666664,76.0,90.66666666666667,58.666666666666664,1.0,1.6666666666666667,2.3333333333333335,3.0,3.6666666666666665,8.0,9.333333333333334,9.0,0.5528999999999998,0.9471000000000002,1.1175666666666666,1.1224333333333334,61.28999999999999,122.41666666666667,135.17022866666667,148.293806,0.0,0.0,0.8266666666666665,2.479999999999999,0.0,0.0,4.666666666666667,14.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-1.0,-0.6666666666666666,0.0,0.0,0.24,0.7199999999999999,0.0,2.9605947323337506e-16,0.5285933333333337,1.5857800000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mof_primitive
