lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,name
9.2416,7.752,7.752,15.5952,49.0,42.0,42.0,154.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,5.0,0.5625,0.5775,0.5775,1.3425,54.760000000000005,83.62,83.62,227.18,0.0,0.4900000000000002,0.4900000000000002,0.9500000000000002,0.0,1.0,1.0,-8.0,0.0,0.0,0.0,0.0,0.0,-1.0,-2.0,-3.0,0.0,-0.020000000000000018,-0.020000000000000018,-0.29000000000000004,0.0,-3.9000000000000004,-3.9000000000000004,-15.899999999999999,6.6564000000000005,13.158,26.316,34.228,256.0,192.0,384.0,576.0,1.0,2.0,4.0,5.333333333333333,4.0,12.0,22.666666666666668,18.666666666666668,1.0404,1.5708,3.1416,3.6992,376.35999999999996,438.44,876.88,1064.6892013333334,0.0,0.0600000000000005,0.120000000000001,0.49333333333333346,0.0,20.0,40.0,49.333333333333336,0.0,0.0,0.0,0.0,0.0,-2.0,-3.3333333333333335,1.3333333333333333,0.0,0.5,1.0,1.8133333333333335,0.0,16.199999999999996,32.39999999999999,48.58577999999998,mof_primitive
9.2416,7.752,7.752,15.5952,49.0,42.0,42.0,154.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,5.0,0.5625,0.5775,0.5775,1.3425,54.760000000000005,83.62,83.62,227.18,0.0,0.4900000000000002,0.4900000000000002,0.9500000000000002,0.0,1.0,1.0,-8.0,0.0,0.0,0.0,0.0,0.0,-1.0,-2.0,-3.0,0.0,-0.020000000000000018,-0.020000000000000018,-0.29000000000000004,0.0,-3.9000000000000004,-3.9000000000000004,-15.899999999999999,6.6564000000000005,13.158,26.316,34.228,256.0,192.0,384.0,576.0,1.0,2.0,4.0,5.333333333333333,4.0,12.0,22.666666666666668,18.666666666666668,1.0404,1.5708,3.1416,3.6992,376.35999999999996,438.44,876.88,1064.6892013333334,0.0,0.0600000000000005,0.120000000000001,0.49333333333333346,0.0,20.0,40.0,49.333333333333336,0.0,0.0,0.0,0.0,0.0,-2.0,-3.3333333333333335,1.3333333333333333,0.0,0.5,1.0,1.8133333333333335,0.0,16.199999999999996,32.39999999999999,48.58577999999998,mof_primitive
9.2416,7.752,7.752,15.5952,49.0,42.0,42.0,154.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,5.0,0.5625,0.5775,0.5775,1.3425,54.760000000000005,83.62,83.62,227.18,0.0,0.4900000000000002,0.4900000000000002,0.9500000000000002,0.0,1.0,1.0,-8.0,0.0,0.0,0.0,0.0,0.0,-1.0,-2.0,-3.0,0.0,-0.020000000000000018,-0.020000000000000018,-0.29000000000000004,0.0,-3.9000000000000004,-3.9000000000000004,-15.899999999999999,6.6564000000000005,13.158,26.316,34.228,256.0,192.0,384.0,576.0,1.0,2.0,4.0,5.333333333333333,4.0,12.0,22.666666666666668,18.666666666666668,1.0404,1.5708,3.1416,3.6992,376.35999999999996,438.44,876.88,1064.6892013333334,0.0,0.0600000000000005,0.120000000000001,0.49333333333333346,0.0,20.0,40.0,49.333333333333336,0.0,0.0,0.0,0.0,0.0,-2.0,-3.3333333333333335,1.3333333333333333,0.0,0.5,1.0,1.8133333333333335,0.0,16.199999999999996,32.39999999999999,48.58577999999998,mof_primitive
9.2416,7.752,7.752,15.5952,49.0,42.0,42.0,154.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,5.0,0.5625,0.5775,0.5775,1.3425,54.760000000000005,83.62,83.62,227.18,0.0,0.4900000000000002,0.4900000000000002,0.9500000000000002,0.0,1.0,1.0,-8.0,0.0,0.0,0.0,0.0,0.0,-1.0,-2.0,-3.0,0.0,-0.020000000000000018,-0.020000000000000018,-0.29000000000000004,0.0,-3.9000000000000004,-3.9000000000000004,-15.899999999999999,6.6564000000000005,13.158,26.316,34.228,256.0,192.0,384.0,576.0,1.0,2.0,4.0,5.333333333333333,4.0,12.0,22.666666666666668,18.666666666666668,1.0404,1.5708,3.1416,3.6992,376.35999999999996,438.44,876.88,1064.6892013333334,0.0,0.0600000000000005,0.120000000000001,0.49333333333333346,0.0,20.0,40.0,49.333333333333336,0.0,0.0,0.0,0.0,0.0,-2.0,-3.3333333333333335,1.3333333333333333,0.0,0.5,1.0,1.8133333333333335,0.0,16.199999999999996,32.39999999999999,48.58577999999998,mof_primitive
9.2416,7.752,7.752,15.5952,49.0,42.0,42.0,154.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,5.0,0.5625,0.5775,0.5775,1.3425,54.760000000000005,83.62,83.62,227.18,0.0,0.4900000000000002,0.4900000000000002,0.9500000000000002,0.0,1.0,1.0,-8.0,0.0,0.0,0.0,0.0,0.0,-1.0,-2.0,-3.0,0.0,-0.020000000000000018,-0.020000000000000018,-0.29000000000000004,0.0,-3.9000000000000004,-3.9000000000000004,-15.899999999999999,6.6564000000000005,13.158,26.316,34.228,256.0,192.0,384.0,576.0,1.0,2.0,4.0,5.333333333333333,4.0,12.0,22.666666666666668,18.666666666666668,1.0404,1.5708,3.1416,3.6992,376.35999999999996,438.44,876.88,1064.6892013333334,0.0,0.0600000000000005,0.120000000000001,0.49333333333333346,0.0,20.0,40.0,49.333333333333336,0.0,0.0,0.0,0.0,0.0,-2.0,-3.3333333333333335,1.3333333333333333,0.0,0.5,1.0,1.8133333333333335,0.0,16.199999999999996,32.39999999999999,48.58577999999998,mof_primitive
9.2416,7.752,7.752,15.5952,49.0,42.0,42.0,154.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,5.0,0.5625,0.5775,0.5775,1.3425,54.760000000000005,83.62,83.62,227.18,0.0,0.4900000000000002,0.4900000000000002,0.9500000000000002,0.0,1.0,1.0,-8.0,0.0,0.0,0.0,0.0,0.0,-1.0,-2.0,-3.0,0.0,-0.020000000000000018,-0.020000000000000018,-0.29000000000000004,0.0,-3.9000000000000004,-3.9000000000000004,-15.899999999999999,6.6564000000000005,13.158,26.316,34.228,256.0,192.0,384.0,576.0,1.0,2.0,4.0,5.333333333333333,4.0,12.0,22.666666666666668,18.666666666666668,1.0404,1.5708,3.1416,3.6992,376.35999999999996,438.44,876.88,1064.6892013333334,0.0,0.0600000000000005,0.120000000000001,0.49333333333333346,0.0,20.0,40.0,49.333333333333336,0.0,0.0,0.0,0.0,0.0,-2.0,-3.3333333333333335,1.3333333333333333,0.0,0.5,1.0,1.8133333333333332,0.0,16.199999999999996,32.39999999999999,48.58577999999998,mof_primitive
9.2416,7.752,7.752,15.5952,49.0,42.0,42.0,154.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,5.0,0.5625,0.5775,0.5775,1.3425,54.760000000000005,83.62,83.62,227.18,0.0,0.4900000000000002,0.4900000000000002,0.9500000000000002,0.0,1.0,1.0,-8.0,0.0,0.0,0.0,0.0,0.0,-1.0,-2.0,-3.0,0.0,-0.020000000000000018,-0.020000000000000018,-0.29000000000000004,0.0,-3.9000000000000004,-3.9000000000000004,-15.899999999999999,6.6564000000000005,13.158,26.316,34.228,256.0,192.0,384.0,576.0,1.0,2.0,4.0,5.333333333333333,4.0,12.0,22.666666666666668,18.666666666666668,1.0404,1.5708,3.1416,3.6992,376.35999999999996,438.44,876.88,1064.6892013333334,0.0,0.0600000000000005,0.120000000000001,0.49333333333333346,0.0,20.0,40.0,49.333333333333336,0.0,0.0,0.0,0.0,0.0,-2.0,-3.3333333333333335,1.3333333333333333,0.0,0.5,1.0,1.8133333333333335,0.0,16.199999999999996,32.39999999999999,48.58577999999998,mof_primitive
9.2416,7.752,7.752,15.5952,49.0,42.0,42.0,154.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,5.0,0.5625,0.5775,0.5775,1.3425,54.760000000000005,83.62,83.62,227.18,0.0,0.4900000000000002,0.4900000000000002,0.9500000000000002,0.0,1.0,1.0,-8.0,0.0,0.0,0.0,0.0,0.0,-1.0,-2.0,-3.0,0.0,-0.020000000000000018,-0.020000000000000018,-0.29000000000000004,0.0,-3.9000000000000004,-3.9000000000000004,-15.899999999999999,6.6564000000000005,13.158,26.316,34.228,256.0,192.0,384.0,576.0,1.0,2.0,4.0,5.333333333333333,4.0,12.0,22.666666666666668,18.666666666666668,1.0404,1.5708,3.1416,3.6992,376.35999999999996,438.44,876.88,1064.6892013333334,0.0,0.0600000000000005,0.120000000000001,0.49333333333333346,0.0,20.0,40.0,49.333333333333336,0.0,0.0,0.0,0.0,0.0,-2.0,-3.3333333333333335,1.3333333333333333,0.0,0.5,1.0,1.8133333333333335,0.0,16.199999999999996,32.39999999999999,48.58577999999998,mof_primitive
9.2416,7.752,7.752,15.5952,49.0,42.0,42.0,154.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,5.0,0.5625,0.5775,0.5775,1.3425,54.760000000000005,83.62,83.62,227.18,0.0,0.4900000000000002,0.4900000000000002,0.9500000000000002,0.0,1.0,1.0,-8.0,0.0,0.0,0.0,0.0,0.0,-1.0,-2.0,-3.0,0.0,-0.020000000000000018,-0.020000000000000018,-0.29000000000000004,0.0,-3.9000000000000004,-3.9000000000000004,-15.899999999999999,6.6564000000000005,13.158,26.316,34.228,256.0,192.0,384.0,576.0,1.0,2.0,4.0,5.333333333333333,4.0,12.0,22.666666666666668,18.666666666666668,1.0404,1.5708,3.1416,3.6992,376.35999999999996,438.44,876.88,1064.6892013333334,0.0,0.0600000000000005,0.120000000000001,0.49333333333333346,0.0,20.0,40.0,49.333333333333336,0.0,0.0,0.0,0.0,0.0,-2.0,-3.3333333333333335,1.3333333333333333,0.0,0.5,1.0,1.8133333333333332,0.0,16.199999999999996,32.39999999999999,48.58577999999998,mof_primitive
9.2416,7.752,7.752,15.5952,49.0,42.0,42.0,154.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,5.0,0.5625,0.5775,0.5775,1.3425,54.760000000000005,83.62,83.62,227.18,0.0,0.4900000000000002,0.4900000000000002,0.9500000000000002,0.0,1.0,1.0,-8.0,0.0,0.0,0.0,0.0,0.0,-1.0,-2.0,-3.0,0.0,-0.020000000000000018,-0.020000000000000018,-0.29000000000000004,0.0,-3.9000000000000004,-3.9000000000000004,-15.899999999999999,6.6564000000000005,13.158,26.316,34.228,256.0,192.0,384.0,576.0,1.0,2.0,4.0,5.333333333333333,4.0,12.0,22.666666666666668,18.666666666666668,1.0404,1.5708,3.1416,3.6992,376.35999999999996,438.44,876.88,1064.6892013333334,0.0,0.0600000000000005,0.120000000000001,0.49333333333333346,0.0,20.0,40.0,49.333333333333336,0.0,0.0,0.0,0.0,0.0,-2.0,-3.3333333333333335,1.3333333333333333,0.0,0.5,1.0,1.8133333333333332,0.0,16.199999999999996,32.39999999999999,48.58577999999998,mof_primitive
9.2416,7.752,7.752,15.5952,49.0,42.0,42.0,154.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,5.0,0.5625,0.5775,0.5775,1.3425,54.760000000000005,83.62,83.62,227.18,0.0,0.4900000000000002,0.4900000000000002,0.9500000000000002,0.0,1.0,1.0,-8.0,0.0,0.0,0.0,0.0,0.0,-1.0,-2.0,-3.0,0.0,-0.020000000000000018,-0.020000000000000018,-0.29000000000000004,0.0,-3.9000000000000004,-3.9000000000000004,-15.899999999999999,6.6564000000000005,13.158,26.316,34.228,256.0,192.0,384.0,576.0,1.0,2.0,4.0,5.333333333333333,4.0,12.0,22.666666666666668,18.666666666666668,1.0404,1.5708,3.1416,3.6992,376.35999999999996,438.44,876.88,1064.6892013333334,0.0,0.0600000000000005,0.120000000000001,0.49333333333333346,0.0,20.0,40.0,49.333333333333336,0.0,0.0,0.0,0.0,0.0,-2.0,-3.3333333333333335,1.3333333333333333,0.0,0.5,1.0,1.8133333333333335,0.0,16.199999999999996,32.39999999999999,48.58578,mof_primitive
9.2416,7.752,7.752,15.5952,49.0,42.0,42.0,154.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,5.0,0.5625,0.5775,0.5775,1.3425,54.760000000000005,83.62,83.62,227.18,0.0,0.4900000000000002,0.4900000000000002,0.9500000000000002,0.0,1.0,1.0,-8.0,0.0,0.0,0.0,0.0,0.0,-1.0,-2.0,-3.0,0.0,-0.020000000000000018,-0.020000000000000018,-0.29000000000000004,0.0,-3.9000000000000004,-3.9000000000000004,-15.899999999999999,6.6564000000000005,13.158,26.316,34.228,256.0,192.0,384.0,576.0,1.0,2.0,4.0,5.333333333333333,4.0,12.0,22.666666666666668,18.666666666666668,1.0404,1.5708,3.1416,3.6992,376.35999999999996,438.44,876.88,1064.6892013333334,0.0,0.0600000000000005,0.120000000000001,0.49333333333333346,0.0,20.0,40.0,49.333333333333336,0.0,0.0,0.0,0.0,0.0,-2.0,-3.3333333333333335,1.3333333333333333,0.0,0.5,1.0,1.8133333333333332,0.0,16.199999999999996,32.39999999999999,48.58577999999998,mof_primitive
