lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,name
9.2416,16.9936,22.192,14.440000000000001,49.0,91.0,91.0,49.0,1.0,2.0,3.0,2.0,4.0,10.0,14.0,10.0,0.5625,1.1400000000000001,1.4325,0.855,54.760000000000005,138.38,200.59261400000003,116.97261400000001,0.0,0.4900000000000002,1.8200000000000003,1.33,0.0,1.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,-0.020000000000000018,0.33999999999999997,0.36,0.0,-3.9000000000000004,-4.90711,-1.00711,9.2416,22.192,43.32000000000001,44.384,49.0,91.0,147.0,182.0,1.0,3.0,6.0,6.0,9.0,27.0,45.0,51.0,0.5625,1.4325,2.5649999999999995,2.865,54.760000000000005,200.59261400000003,350.91784200000006,401.18522800000005,0.0,1.8200000000000003,3.99,3.6400000000000006,0.0,8.0,21.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.33999999999999997,1.08,0.6799999999999999,0.0,-4.90711,-3.0213300000000003,-9.81422,mof_primitive
9.2416,16.9936,22.192,14.440000000000001,49.0,91.0,91.0,49.0,1.0,2.0,3.0,2.0,4.0,10.0,14.0,10.0,0.5625,1.1400000000000001,1.4325,0.855,54.760000000000005,138.38,200.59261400000003,116.97261400000001,0.0,0.4900000000000002,1.8200000000000003,1.33,0.0,1.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,-0.020000000000000018,0.33999999999999997,0.36,0.0,-3.9000000000000004,-4.90711,-1.00711,9.2416,22.192,43.32000000000001,44.384,49.0,91.0,147.0,182.0,1.0,3.0,6.0,6.0,9.0,27.0,45.0,51.0,0.5625,1.4325,2.565,2.865,54.760000000000005,200.59261400000003,350.91784200000006,401.18522800000005,0.0,1.8200000000000003,3.99,3.6400000000000006,0.0,8.0,21.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.33999999999999997,1.08,0.6799999999999999,0.0,-4.90711,-3.02133,-9.81422,mof_primitive
9.2416,16.9936,24.897600000000004,17.1456,49.0,91.0,119.0,77.0,1.0,2.0,3.0,2.0,4.0,10.0,14.0,8.0,0.5625,1.1400000000000001,1.56,0.9824999999999999,54.760000000000005,138.38,197.754307,114.134307,0.0,0.4900000000000002,0.9300000000000004,0.44000000000000017,0.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-0.020000000000000018,0.16999999999999998,0.19,0.0,-3.9000000000000004,-4.523555,-0.6235550000000001,12.541,16.1705,28.9081,32.4474,65.0,72.5,111.0,173.0,1.0,2.0,3.5,3.5,5.0,13.5,16.0,22.0,0.5333,0.9896,1.53335,1.9604499999999998,34.3738,121.42730700000001,168.61792100000002,208.91000000000003,0.0,1.625,2.9350000000000005,2.6350000000000007,0.0,5.5,12.5,5.5,0.0,0.0,0.0,0.0,0.0,-0.5,1.5,-2.5,0.0,0.13999999999999996,0.5,-0.1100000000000001,0.0,-6.233555000000001,-5.170665,-15.240000000000002,mof_primitive
9.2416,16.9936,24.897600000000004,17.1456,49.0,91.0,119.0,77.0,1.0,2.0,3.0,2.0,4.0,10.0,14.0,8.0,0.5625,1.1400000000000001,1.56,0.9824999999999999,54.760000000000005,138.38,197.754307,114.134307,0.0,0.4900000000000002,0.9300000000000004,0.44000000000000017,0.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-0.020000000000000018,0.16999999999999998,0.19,0.0,-3.9000000000000004,-4.523555,-0.6235550000000001,12.541,16.1705,28.9081,32.4474,65.0,72.5,111.0,173.0,1.0,2.0,3.5,3.5,5.0,13.5,16.0,22.0,0.5333,0.9896,1.53335,1.9604499999999998,34.3738,121.42730700000001,168.61792100000002,208.91000000000003,0.0,1.625,2.9350000000000005,2.6350000000000007,0.0,5.5,12.5,5.5,0.0,0.0,0.0,0.0,0.0,-0.5,1.5,-2.5,0.0,0.13999999999999996,0.5,-0.1100000000000001,0.0,-6.233555000000001,-5.170665,-15.240000000000002,mof_primitive
9.2416,16.9936,24.897600000000004,17.1456,49.0,91.0,119.0,77.0,1.0,2.0,3.0,2.0,4.0,10.0,14.0,8.0,0.5625,1.1400000000000001,1.56,0.9824999999999999,54.760000000000005,138.38,197.754307,114.134307,0.0,0.4900000000000002,0.9300000000000004,0.44000000000000017,0.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-0.020000000000000018,0.16999999999999998,0.19,0.0,-3.9000000000000004,-4.523555,-0.6235550000000001,12.541,16.1705,28.9081,32.4474,65.0,72.5,111.0,173.0,1.0,2.0,3.5,3.5,5.0,13.5,16.0,22.0,0.5333,0.9896,1.53335,1.9604499999999998,34.3738,121.42730700000001,168.61792100000002,208.91000000000003,0.0,1.625,2.9350000000000005,2.6350000000000007,0.0,5.5,12.5,5.5,0.0,0.0,0.0,0.0,0.0,-0.5,1.5,-2.5,0.0,0.13999999999999996,0.5,-0.1100000000000001,0.0,-6.233555000000001,-5.170665,-15.240000000000002,mof_primitive
9.2416,16.9936,24.897600000000004,17.1456,49.0,91.0,119.0,77.0,1.0,2.0,3.0,2.0,4.0,10.0,14.0,8.0,0.5625,1.1400000000000001,1.56,0.9824999999999999,54.760000000000005,138.38,197.754307,114.134307,0.0,0.4900000000000002,0.9300000000000004,0.44000000000000017,0.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-0.020000000000000018,0.16999999999999998,0.19,0.0,-3.9000000000000004,-4.523555,-0.6235550000000001,12.541,16.1705,28.9081,32.4474,65.0,72.5,111.0,173.0,1.0,2.0,3.5,3.5,5.0,13.5,16.0,22.0,0.5333,0.9896,1.53335,1.9604499999999998,34.3738,121.42730700000001,168.61792100000002,208.91000000000003,0.0,1.625,2.9350000000000005,2.6350000000000007,0.0,5.5,12.5,5.5,0.0,0.0,0.0,0.0,0.0,-0.5,1.5,-2.5,0.0,0.13999999999999996,0.5,-0.1100000000000001,0.0,-6.233555000000001,-5.170665,-15.240000000000002,mof_primitive
9.2416,16.9936,22.192,14.440000000000001,49.0,91.0,91.0,49.0,1.0,2.0,3.0,2.0,4.0,10.0,14.0,10.0,0.5625,1.1400000000000001,1.4325,0.855,54.760000000000005,138.38,200.59261400000003,116.97261400000001,0.0,0.4900000000000002,1.8200000000000003,1.33,0.0,1.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,-0.020000000000000018,0.33999999999999997,0.36,0.0,-3.9000000000000004,-4.90711,-1.00711,9.2416,22.192,43.32000000000001,44.38400000000001,49.0,91.0,147.0,182.0,1.0,3.0,6.0,6.0,9.0,27.0,45.0,51.0,0.5625,1.4325,2.5649999999999995,2.865,54.760000000000005,200.59261400000003,350.91784200000006,401.18522800000005,0.0,1.8200000000000003,3.99,3.6400000000000006,0.0,8.0,21.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.33999999999999997,1.08,0.6799999999999999,0.0,-4.90711,-3.0213300000000003,-9.81422,mof_primitive
9.2416,16.9936,22.192,14.440000000000001,49.0,91.0,91.0,49.0,1.0,2.0,3.0,2.0,4.0,10.0,14.0,10.0,0.5625,1.1400000000000001,1.4325,0.855,54.760000000000005,138.38,200.59261400000003,116.97261400000001,0.0,0.4900000000000002,1.8200000000000003,1.33,0.0,1.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,-0.020000000000000018,0.33999999999999997,0.36,0.0,-3.9000000000000004,-4.90711,-1.00711,9.2416,22.192,43.32000000000001,44.38400000000001,49.0,91.0,147.0,182.0,1.0,3.0,6.0,6.0,9.0,27.0,45.0,51.0,0.5625,1.4325,2.5649999999999995,2.865,54.760000000000005,200.59261400000003,350.91784200000006,401.18522800000005,0.0,1.8200000000000003,3.99,3.6400000000000006,0.0,8.0,21.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.33999999999999997,1.08,0.6799999999999999,0.0,-4.90711,-3.0213300000000003,-9.81422,mof_primitive
9.2416,16.9936,22.192,14.440000000000001,49.0,91.0,91.0,49.0,1.0,2.0,3.0,2.0,4.0,10.0,14.0,10.0,0.5625,1.1400000000000001,1.4325,0.855,54.760000000000005,138.38,200.59261400000003,116.97261400000001,0.0,0.4900000000000002,1.8200000000000003,1.33,0.0,1.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,-0.020000000000000018,0.33999999999999997,0.36,0.0,-3.9000000000000004,-4.90711,-1.00711,9.2416,22.192,43.32000000000001,44.384,49.0,91.0,147.0,182.0,1.0,3.0,6.0,6.0,9.0,27.0,45.0,51.0,0.5625,1.4325,2.5649999999999995,2.865,54.760000000000005,200.59261400000003,350.91784200000006,401.18522800000005,0.0,1.8200000000000003,3.99,3.6400000000000006,0.0,8.0,21.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.33999999999999997,1.08,0.6799999999999999,0.0,-4.90711,-3.0213300000000003,-9.81422,mof_primitive
9.2416,16.9936,22.192,14.440000000000001,49.0,91.0,91.0,49.0,1.0,2.0,3.0,2.0,4.0,10.0,14.0,10.0,0.5625,1.1400000000000001,1.4325,0.855,54.760000000000005,138.38,200.59261400000003,116.97261400000001,0.0,0.4900000000000002,1.8200000000000003,1.33,0.0,1.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,-0.020000000000000018,0.33999999999999997,0.36,0.0,-3.9000000000000004,-4.90711,-1.00711,9.2416,22.192,43.32000000000001,44.384,49.0,91.0,147.0,182.0,1.0,3.0,6.0,6.0,9.0,27.0,45.0,51.0,0.5625,1.4325,2.565,2.865,54.760000000000005,200.59261400000003,350.91784200000006,401.18522800000005,0.0,1.8200000000000003,3.99,3.6400000000000006,0.0,8.0,21.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.33999999999999997,1.08,0.6799999999999999,0.0,-4.90711,-3.02133,-9.81422,mof_primitive
9.2416,16.9936,24.897600000000004,17.1456,49.0,91.0,119.0,77.0,1.0,2.0,3.0,2.0,4.0,10.0,14.0,8.0,0.5625,1.1400000000000001,1.56,0.9824999999999999,54.760000000000005,138.38,197.754307,114.134307,0.0,0.4900000000000002,0.9300000000000004,0.44000000000000017,0.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-0.020000000000000018,0.16999999999999998,0.19,0.0,-3.9000000000000004,-4.523555,-0.6235550000000001,12.541,16.1705,28.9081,32.4474,65.0,72.5,111.0,173.0,1.0,2.0,3.5,3.5,5.0,13.5,16.0,22.0,0.5333,0.9896,1.53335,1.9604499999999998,34.3738,121.42730700000001,168.61792100000002,208.91000000000003,0.0,1.625,2.9350000000000005,2.6350000000000007,0.0,5.5,12.5,5.5,0.0,0.0,0.0,0.0,0.0,-0.5,1.5,-2.5,0.0,0.13999999999999996,0.5,-0.1100000000000001,0.0,-6.233555000000001,-5.170665,-15.240000000000002,mof_primitive
9.2416,16.9936,24.897600000000004,17.1456,49.0,91.0,119.0,77.0,1.0,2.0,3.0,2.0,4.0,10.0,14.0,8.0,0.5625,1.1400000000000001,1.56,0.9824999999999999,54.760000000000005,138.38,197.754307,114.134307,0.0,0.4900000000000002,0.9300000000000004,0.44000000000000017,0.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-0.020000000000000018,0.16999999999999998,0.19,0.0,-3.9000000000000004,-4.523555,-0.6235550000000001,12.541,16.1705,28.9081,32.4474,65.0,72.5,111.0,173.0,1.0,2.0,3.5,3.5,5.0,13.5,16.0,22.0,0.5333,0.9896,1.53335,1.9604499999999998,34.3738,121.42730700000001,168.61792100000002,208.91000000000003,0.0,1.625,2.9350000000000005,2.6350000000000007,0.0,5.5,12.5,5.5,0.0,0.0,0.0,0.0,0.0,-0.5,1.5,-2.5,0.0,0.13999999999999996,0.5,-0.1100000000000001,0.0,-6.233555000000001,-5.170665,-15.240000000000002,mof_primitive
9.2416,16.9936,24.897600000000004,17.1456,49.0,91.0,119.0,77.0,1.0,2.0,3.0,2.0,4.0,10.0,14.0,8.0,0.5625,1.1400000000000001,1.56,0.9824999999999999,54.760000000000005,138.38,197.754307,114.134307,0.0,0.4900000000000002,0.9300000000000004,0.44000000000000017,0.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-0.020000000000000018,0.16999999999999998,0.19,0.0,-3.9000000000000004,-4.523555,-0.6235550000000001,12.541,16.1705,28.9081,32.4474,65.0,72.5,111.0,173.0,1.0,2.0,3.5,3.5,5.0,13.5,16.0,22.0,0.5333,0.9896,1.53335,1.9604499999999998,34.3738,121.42730700000001,168.61792100000002,208.91000000000003,0.0,1.625,2.9350000000000005,2.6350000000000007,0.0,5.5,12.5,5.5,0.0,0.0,0.0,0.0,0.0,-0.5,1.5,-2.5,0.0,0.13999999999999996,0.5,-0.1100000000000001,0.0,-6.233555000000001,-5.170665,-15.240000000000002,mof_primitive
