f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,name
170.4394,347.871,678.9603999999999,1034.313,628.0,1320.0,2236.0,2688.0,26.0,54.0,108.0,170.0,162.0,456.0,768.0,848.0,9.7034,24.378200000000007,43.2908,59.54180000000002,mof_primitive
170.43939999999998,347.871,678.9603999999999,1034.313,628.0,1320.0,2236.0,2688.0,26.0,54.0,108.0,170.0,162.0,456.0,768.0,848.0,9.7034,24.378200000000007,43.2908,59.54180000000002,mof_primitive
170.4394,347.871,678.9603999999999,1034.313,628.0,1320.0,2236.0,2688.0,26.0,54.0,108.0,170.0,162.0,456.0,768.0,848.0,9.7034,24.378200000000007,43.2908,59.541800000000016,mof_primitive
170.4394,347.871,678.9603999999999,1034.313,628.0,1320.0,2236.0,2688.0,26.0,54.0,108.0,170.0,162.0,456.0,768.0,848.0,9.7034,24.378200000000007,43.2908,59.541800000000016,mof_primitive
178.2826,355.6229999999999,701.1524000000001,1079.8521999999998,3076.0,2136.0,4004.0,8536.0,26.0,54.0,108.0,170.0,162.0,456.0,768.0,848.0,12.028799999999999,26.7498,49.1736,72.49320000000003,mof_primitive
178.2826,355.6229999999999,701.1524000000002,1079.8521999999998,3076.0,2136.0,4004.0,8536.0,26.0,54.0,108.0,170.0,162.0,456.0,768.0,848.0,12.028799999999999,26.7498,49.1736,72.49320000000003,mof_primitive
170.4394,347.87100000000004,678.9603999999999,1034.3129999999999,628.0,1320.0,2236.0,2688.0,26.0,54.0,108.0,170.0,162.0,456.0,768.0,848.0,9.7034,24.3782,43.290800000000004,59.54180000000002,mof_primitive
170.4394,347.87100000000004,678.9603999999999,1034.3129999999999,628.0,1320.0,2236.0,2688.0,26.0,54.0,108.0,170.0,162.0,456.0,768.0,848.0,9.7034,24.3782,43.290800000000004,59.54180000000001,mof_primitive
170.4394,347.87100000000004,678.9604000000002,1034.3129999999999,628.0,1320.0,2236.0,2688.0,26.0,54.0,108.0,170.0,162.0,456.0,768.0,848.0,9.7034,24.378200000000003,43.290800000000004,59.54180000000001,mof_primitive
170.4394,347.87100000000004,678.9604000000002,1034.3129999999999,628.0,1320.0,2236.0,2688.0,26.0,54.0,108.0,170.0,162.0,456.0,768.0,848.0,9.7034,24.378200000000003,43.290800000000004,59.54180000000001,mof_primitive
170.4394,347.8710000000001,678.9603999999997,1034.313,628.0,1320.0,2236.0,2688.0,26.0,54.0,108.0,170.0,162.0,456.0,768.0,848.0,9.703400000000004,24.378200000000003,43.29079999999999,59.54180000000002,mof_primitive
170.4394,347.8710000000001,678.9603999999999,1034.313,628.0,1320.0,2236.0,2688.0,26.0,54.0,108.0,170.0,162.0,456.0,768.0,848.0,9.703400000000002,24.378200000000007,43.290800000000004,59.54180000000002,mof_primitive
