f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,name
232.4413,441.915,740.5495999999998,923.7658,991.0,1884.0,2828.0,3028.0,32.0,64.0,106.0,130.0,170.0,412.0,526.0,546.0,13.4768,30.553600000000014,45.0058,51.491400000000006,mof_primitive
232.4413,441.915,740.5495999999998,923.7658,991.0,1884.0,2828.0,3028.0,32.0,64.0,106.0,130.0,170.0,412.0,526.0,546.0,13.4768,30.553600000000014,45.0058,51.49140000000001,mof_primitive
232.4413,441.915,740.5495999999998,923.7658,991.0,1884.0,2828.0,3028.0,32.0,64.0,106.0,130.0,170.0,412.0,526.0,546.0,13.476799999999995,30.553600000000014,45.00580000000001,51.49140000000001,mof_primitive
232.4413,441.915,740.5495999999999,923.7658,991.0,1884.0,2828.0,3028.0,32.0,64.0,106.0,130.0,170.0,412.0,526.0,546.0,13.476800000000004,30.55360000000001,45.005800000000015,51.49139999999999,mof_primitive
232.4413,441.9150000000001,740.5495999999997,923.7658,991.0,1884.0,2828.0,3028.0,32.0,64.0,106.0,130.0,170.0,412.0,526.0,546.0,13.476800000000008,30.55360000000001,45.005800000000015,51.49139999999998,mof_primitive
232.4413,441.9150000000001,740.5495999999998,923.7658,991.0,1884.0,2828.0,3028.0,32.0,64.0,106.0,130.0,170.0,412.0,526.0,546.0,13.476800000000008,30.553600000000003,45.005800000000015,51.49139999999999,mof_primitive
232.4413,441.915,740.5495999999999,923.7658,991.0,1884.0,2828.0,3028.0,32.0,64.0,106.0,130.0,170.0,412.0,526.0,546.0,13.476800000000004,30.55360000000001,45.005800000000015,51.49139999999999,mof_primitive
232.4413,441.9149999999999,740.5495999999998,923.7658,991.0,1884.0,2828.0,3028.0,32.0,64.0,106.0,130.0,170.0,412.0,526.0,546.0,13.4768,30.5536,45.005800000000015,51.49140000000002,mof_primitive
232.4413,441.915,740.5495999999998,923.7658,991.0,1884.0,2828.0,3028.0,32.0,64.0,106.0,130.0,170.0,412.0,526.0,546.0,13.4768,30.553600000000014,45.0058,51.491400000000006,mof_primitive
232.4413,441.915,740.5495999999998,923.7658,991.0,1884.0,2828.0,3028.0,32.0,64.0,106.0,130.0,170.0,412.0,526.0,546.0,13.4768,30.553600000000014,45.0058,51.49140000000001,mof_primitive
232.4413,441.915,740.5495999999998,923.7658,991.0,1884.0,2828.0,3028.0,32.0,64.0,106.0,130.0,170.0,412.0,526.0,546.0,13.476799999999995,30.553600000000014,45.00580000000001,51.49140000000001,mof_primitive
232.44129999999996,441.915,740.5495999999999,923.7658,991.0,1884.0,2828.0,3028.0,32.0,64.0,106.0,130.0,170.0,412.0,526.0,546.0,13.476800000000004,30.55360000000001,45.005800000000015,51.49139999999999,mof_primitive
232.4413,441.9150000000001,740.5495999999997,923.7658,991.0,1884.0,2828.0,3028.0,32.0,64.0,106.0,130.0,170.0,412.0,526.0,546.0,13.476800000000008,30.55360000000001,45.005800000000015,51.49139999999998,mof_primitive
232.4413,441.9150000000001,740.5495999999998,923.7658,991.0,1884.0,2828.0,3028.0,32.0,64.0,106.0,130.0,170.0,412.0,526.0,546.0,13.476800000000008,30.553600000000003,45.005800000000015,51.49139999999999,mof_primitive
232.44129999999996,441.915,740.5495999999999,923.7658,991.0,1884.0,2828.0,3028.0,32.0,64.0,106.0,130.0,170.0,412.0,526.0,546.0,13.476800000000004,30.55360000000001,45.005800000000015,51.49139999999999,mof_primitive
232.44129999999998,441.91499999999985,740.5495999999998,923.7658,991.0,1884.0,2828.0,3028.0,32.0,64.0,106.0,130.0,170.0,412.0,526.0,546.0,13.4768,30.553599999999996,45.005800000000015,51.49140000000002,mof_primitive
232.44129999999996,441.91499999999996,740.5495999999998,923.7657999999999,991.0,1884.0,2828.0,3028.0,32.0,64.0,106.0,130.0,170.0,412.0,526.0,546.0,13.476799999999999,30.553600000000014,45.0058,51.491400000000006,mof_primitive
232.44129999999996,441.91499999999996,740.5495999999998,923.7657999999999,991.0,1884.0,2828.0,3028.0,32.0,64.0,106.0,130.0,170.0,412.0,526.0,546.0,13.476799999999999,30.553600000000014,45.0058,51.49140000000001,mof_primitive
232.44129999999998,441.91499999999996,740.5495999999998,923.7657999999999,991.0,1884.0,2828.0,3028.0,32.0,64.0,106.0,130.0,170.0,412.0,526.0,546.0,13.476799999999997,30.553600000000014,45.00580000000001,51.49140000000001,mof_primitive
232.44129999999993,441.915,740.5495999999999,923.7657999999999,991.0,1884.0,2828.0,3028.0,32.0,64.0,106.0,130.0,170.0,412.0,526.0,546.0,13.476800000000004,30.55360000000001,45.005800000000015,51.491399999999985,mof_primitive
232.44129999999998,441.9150000000001,740.5495999999997,923.7658,991.0,1884.0,2828.0,3028.0,32.0,64.0,106.0,130.0,170.0,412.0,526.0,546.0,13.476800000000008,30.55360000000001,45.005800000000015,51.49139999999998,mof_primitive
232.44129999999998,441.9150000000001,740.5495999999998,923.7658,991.0,1884.0,2828.0,3028.0,32.0,64.0,106.0,130.0,170.0,412.0,526.0,546.0,13.476800000000008,30.553600000000003,45.005800000000015,51.491399999999985,mof_primitive
232.44129999999993,441.915,740.5495999999999,923.7657999999999,991.0,1884.0,2828.0,3028.0,32.0,64.0,106.0,130.0,170.0,412.0,526.0,546.0,13.476800000000004,30.55360000000001,45.005800000000015,51.491399999999985,mof_primitive
